"bhk","price","flr","area","sale","furnus","owner","f1","f2"
2,4500000.00,"7 - 9",,1,1,,"7 ","9"
3,8900000.00,"6 - 21",856,1,1,1,"6 ","21"
3,19000000.00,"14 - 22",1120,1,2,0,"14", 22
2,9600000.00,"4 - 23",480,1,1,1,"4 ","23"
1,8300000.00,"6 - 7",,1,2,,"6 ","7"
1,3300000.00,"16 - 16",475,1,1,0,"16", 16
1,5800000.00,"8 - 16",400,1,0,0,"8 ","16"
2,5800000.00,"6 - 7",749,1,1,0,"6 ","7"
1,8500000.00,"10 - 11",,1,1,,"10", 11
1,11000000.00,"2 - 7",480,1,2,0,"2 ","7"
1,3500000.00,"2 - 4",590,1,0,1,"2 ","4"
2,11300000.00,"20 - 26",636,1,0,1,"20", 26
1,6000000.00,"7 - 8",,1,1,,"7 ","8"
1,2500000.00,"3 - 4",400,1,0,1,"3 ","4"
1,4000000.00,"2 - 3",600,1,0,,"2 ","3"
1,5000000.00,"17 - 18",450,1,0,,"17", 18
2,3500000.00,"1 - 4",,1,1,,"1 ","4"
2,9600000.00,"10 - 31",771,1,1,1,"10", 31
1,2700000.00,"2 - 4",,1,0,,"2 ","4"
3,15500000.00,"10 - 30",1000,1,1,0,"10", 30
1,7600000.00,"5 - 6",464,1,2,,"5 ","6"
2,11100000.00,"14 - 26",636,1,0,1,"14", 26
1,6800000.00,"5 - 8",475,1,1,1,"5 ","8"
2,7500000.00,"9 - 17",,1,0,,"9 ","17"
1,6200000.00,"8 - 23",440,0,0,,"8 ","23"
2,7300000.00,"4 - 17",700,1,1,3,"4 ","17"
1,7500000.00,"5 - 7",420,1,1,0,"5 ","7"
2,5400000.00,"6 - 7",656,1,0,,"6 ","7"
2,2000000.00,"4 - 4",750,0,2,,"4 ","4"
2,10000000.00,"4 - 12",666,1,0,1,"4 ","12"
1,4500000.00,"5 - 7",,1,1,,"5 ","7"
1,4800000.00,"1 - 7",,1,1,,"1 ","7"
1,4800000.00,"1 - 7",,1,1,,"1 ","7"
1,9000000.00,"0  - 1",468,1,0,,"0 ", 1
1,4200000.00,"5 - 21",401,0,0,1,"5 ","21"
2,12200000.00,"12 - 24",650,1,0,1,"12", 24
2,16000000.00,"19 - 20",,1,1,,"19", 20
4,20000000.00,"6 - 8",,1,1,,"6 ","8"
1,3000000.00,"5 - 7",,1,0,,"5 ","7"
,1650000.00,"4 - 10",,1,1,,"4 ","10"
1,7550000.00,"4 - 20",450,1,1,0,"4 ","20"
1,2800000.00,"1 - 5",460,1,1,1,"1 ","5"
1,2700000.00,"4 - 7",,1,0,0,"4 ","7"
2,7800000.00,"5 - 7",600,1,0,1,"5 ","7"
1,2600000.00,"4 - 4",380,1,1,1,"4 ","4"
3,8000000.00,"6 - 7",915,0,2,0,"6 ","7"
2,3300000.00,"1 - 6",635,1,1,,"1 ","6"
1,6800000.00,"6 - 15",445,1,1,1,"6 ","15"
2,9500000.00,"20 - 29",756,0,2,1,"20", 29
3,23500000.00,"10 - 18",910,1,1,1,"10", 18
2,15000000.00,"10 - 18",559,1,1,1,"10", 18
1,9500000.00,"7 - 15",,1,2,2,"7 ","15"
3,24000000.00,"6 - 30",1500,1,2,1,"6 ","30"
1,2000000.00,"3 - 4",,1,1,,"3 ","4"
1,3950000.00,"4 - 16",450,1,0,0,"4 ","16"
1,3500000.00,"2 - 6",550,1,0,,"2 ","6"
1,4200000.00,"3 - 7",455,1,0,0,"3 ","7"
2,15300000.00,"21 - 45",635,0,0,1,"21", 45
1,2380000.00,"4 - 7",450,0,0,1,"4 ","7"
1,2500000.00,"7 - 7",,1,0,,"7 ","7"
2,,"2 - 8",,1,1,,"2 ","8"
1,7600000.00,"5 - 6",464,1,2,,"5 ","6"
1,2900000.00,"7 - 7",,1,0,0,"7 ","7"
3,16500000.00,"16 - 19",,1,2,,"16", 19
1,5100000.00,"2 - 3",,1,0,,"2 ","3"
2,9500000.00,"6 - 12",,1,2,,"6 ","12"
2,15500000.00,"6 - 12",570,1,0,1,"6 ","12"
2,13900000.00,"2 - 7",,1,0,,"2 ","7"
2,17000000.00,"9 - 29",767,0,0,1,"9 ","29"
2,10000000.00,"8 - 27",,0,1,,"8 ","27"
2,10000000.00,"8 - 27",,0,1,,"8 ","27"
2,10900000.00,"19 - 26",650,1,0,1,"19", 26
1,3000000.00,"2 - 3",,1,1,1,"2 ","3"
2,8600000.00,"6 - 8",,1,0,,"6 ","8"
1,5300000.00,"22 - 25",,1,0,,"22", 25
1,3800000.00,"4 - 7",,1,0,,"4 ","7"
1,3800000.00,"4 - 7",,1,0,,"4 ","7"
1,3900000.00,"4 - 7",,1,0,,"4 ","7"
2,12100000.00,"2 - 10",780,1,2,1,"2 ","10"
2,11000000.00,"13 - 26",636,1,0,1,"13", 26
3,21000000.00,"7 - 12",930,1,1,,"7 ","12"
1,5200000.00,"1 - 7",430,1,1,0,"1 ","7"
1,1800000.00,"3 - 5",,1,0,,"3 ","5"
2,11000000.00,"6 - 27",600,1,0,1,"6 ","27"
