bhk,price,area,sale,furnus,f1,f2,floor
2.0,6000000.0,670.0,Resale,Unfurnished,5.0,8.0,5 out of 8
1.0,4500000.0,580.0,New Property,Semi-Furnished,9.0,18.0,9 out of 18
2.0,4500000.0,584.0,Resale,Furnished,10.0,19.0,10 out of 19
2.0,3000000.0,640.0,Resale,Semi-Furnished,3.0,11.0,3 out of 11
3.0,25000000.0,1260.0,Resale,Unfurnished,10.0,31.0,10 out of 31
1.0,2900000.0,650.0,Resale,Unfurnished,6.0,10.0,6 out of 10
2.0,6800000.0,700.0,Resale,Unfurnished,3.0,6.0,3 out of 6
1.0,7200000.0,430.0,Resale,Semi-Furnished,4.0,15.0,4 out of 15
3.0,17500000.0,844.0,Resale,Unfurnished,3.0,12.0,3 out of 12
1.0,5000000.0,450.0,Resale,Semi-Furnished,4.0,7.0,4 out of 7
1.0,7500000.0,453.0,Resale,Semi-Furnished,3.0,13.0,3 out of 13
1.0,8200000.0,450.0,Resale,Furnished,2.0,7.0,2 out of 7
1.0,2500000.0,430.0,Resale,Semi-Furnished,4.0,7.0,4 out of 7
2.0,15500000.0,676.0,Resale,Unfurnished,2.0,12.0,2 out of 12
3.0,21000000.0,1115.0,Resale,Semi-Furnished,18.0,28.0,18 out of 28
3.0,16000000.0,950.0,Resale,Unfurnished,15.0,30.0,15 out of 30
2.0,10500000.0,530.0,Resale,Unfurnished,20.0,26.0,20 out of 26
2.0,11500000.0,700.0,Resale,Semi-Furnished,8.0,19.0,8 out of 19
3.0,23000000.0,902.0,Resale,Unfurnished,14.0,28.0,14 out of 28
3.0,23500000.0,1090.0,Resale,Semi-Furnished,17.0,30.0,17 out of 30
2.0,6500000.0,640.0,New Property,Unfurnished,2.0,12.0,2 out of 12
1.0,7100000.0,450.0,Resale,Unfurnished,2.0,7.0,2 out of 7
3.0,16500000.0,880.0,Resale,Semi-Furnished,10.0,20.0,10 out of 20
4.0,31000000.0,1070.0,Resale,Semi-Furnished,21.0,28.0,21 out of 28
1.0,5700000.0,300.0,Resale,Semi-Furnished,4.0,17.0,4 out of 17
3.0,27500000.0,1250.0,Resale,Unfurnished,8.0,27.0,8 out of 27
2.0,8000000.0,610.0,Resale,Unfurnished,5.0,7.0,5 out of 7
2.0,6000000.0,700.0,Resale,Unfurnished,6.0,16.0,6 out of 16
3.0,20000000.0,900.0,Resale,Unfurnished,25.0,27.0,25 out of 27
2.0,11200000.0,680.0,Resale,Semi-Furnished,8.0,30.0,8 out of 30
3.0,25400000.0,1163.0,New Property,Unfurnished,15.0,18.0,15 out of 18
1.0,4100000.0,430.0,Resale,Unfurnished,16.0,16.0,16 out of 16
1.0,2480000.0,486.0,Resale,Semi-Furnished,7.0,7.0,7 out of 7
1.0,2320000.0,486.0,Resale,Semi-Furnished,7.0,7.0,7 out of 7
1.0,4200000.0,500.0,Resale,Unfurnished,10.0,11.0,10 out of 11
2.0,9800000.0,473.0,Resale,Semi-Furnished,3.0,22.0,3 out of 22
2.0,14000000.0,779.0,Resale,Unfurnished,10.0,29.0,10 out of 29
1.0,2500000.0,530.0,Resale,Unfurnished,1.0,3.0,1 out of 3
2.0,16000000.0,635.0,Resale,Unfurnished,20.0,42.0,20 out of 42
1.0,1650000.0,550.0,Resale,Unfurnished,4.0,5.0,4 out of 5
3.0,16000000.0,900.0,Resale,Unfurnished,3.0,27.0,3 out of 27
3.0,14000000.0,950.0,Resale,Semi-Furnished,6.0,20.0,6 out of 20
4.0,42500000.0,1820.0,Resale,Semi-Furnished,18.0,27.0,18 out of 27
2.0,9000000.0,675.0,New Property,Unfurnished,10.0,16.0,10 out of 16
1.0,3700000.0,647.0,New Property,Unfurnished,5.0,7.0,5 out of 7
2.0,9000000.0,600.0,Resale,Unfurnished,20.0,28.0,20 out of 28
1.0,5400000.0,430.0,Resale,Semi-Furnished,3.0,7.0,3 out of 7
2.0,16500000.0,665.0,Resale,Unfurnished,15.0,31.0,15 out of 31
2.0,8500000.0,557.0,Resale,Unfurnished,2.0,28.0,2 out of 28
3.0,12800000.0,870.0,Resale,Semi-Furnished,27.0,27.0,27 out of 27
1.0,2400000.0,288.0,Resale,Unfurnished,3.0,8.0,3 out of 8
3.0,17500000.0,925.0,Resale,Furnished,8.0,20.0,8 out of 20
1.0,4700000.0,434.0,New Property,Semi-Furnished,9.0,24.0,9 out of 24
4.0,32000000.0,1350.0,Resale,Unfurnished,16.0,27.0,16 out of 27
2.0,19800000.0,850.0,Resale,Semi-Furnished,14.0,29.0,14 out of 29
1.0,8300000.0,467.0,Resale,Semi-Furnished,12.0,27.0,12 out of 27
3.0,14200000.0,849.0,Resale,Semi-Furnished,1.0,27.0,1 out of 27
1.0,5400000.0,440.0,Resale,Furnished,2.0,7.0,2 out of 7
2.0,11800000.0,639.0,New Property,Unfurnished,16.0,38.0,16 out of 38
2.0,3500000.0,600.0,Resale,Unfurnished,2.0,7.0,2 out of 7
2.0,7000000.0,923.0,Resale,Semi-Furnished,2.0,7.0,2 out of 7
2.0,11000000.0,620.0,Resale,Semi-Furnished,5.0,7.0,5 out of 7
2.0,10500000.0,550.0,Resale,Unfurnished,6.0,28.0,6 out of 28
1.0,2400000.0,367.0,Resale,Semi-Furnished,1.0,4.0,1 out of 4
2.0,7800000.0,600.0,Resale,Unfurnished,5.0,7.0,5 out of 7
3.0,15500000.0,880.0,Resale,Semi-Furnished,7.0,16.0,7 out of 16
1.0,4700000.0,380.0,Resale,Unfurnished,2.0,7.0,2 out of 7
1.0,2300000.0,375.0,Resale,Semi-Furnished,7.0,12.0,7 out of 12
2.0,10000000.0,636.0,Resale,Unfurnished,10.0,10.0,10 out of 10
2.0,7000000.0,600.0,Resale,Unfurnished,14.0,17.0,14 out of 17
2.0,12000000.0,661.0,Resale,Semi-Furnished,21.0,27.0,21 out of 27
2.0,5100000.0,686.0,Resale,Unfurnished,5.0,8.0,5 out of 8
3.0,15500000.0,950.0,Resale,Unfurnished,7.0,30.0,7 out of 30
1.0,3000000.0,504.0,Resale,Unfurnished,6.0,18.0,6 out of 18
2.0,19000000.0,799.0,Resale,Semi-Furnished,14.0,28.0,14 out of 28
1.0,6000000.0,320.0,New Property,Semi-Furnished,2.0,24.0,2 out of 24
2.0,8500000.0,650.0,Resale,Furnished,3.0,4.0,3 out of 4
2.0,4300000.0,586.0,Resale,Unfurnished,1.0,8.0,1 out of 8
3.0,26000000.0,1200.0,Resale,Semi-Furnished,7.0,7.0,7 out of 7
2.0,15500000.0,741.0,Resale,Semi-Furnished,4.0,28.0,4 out of 28
3.0,26500000.0,1200.0,Resale,Semi-Furnished,4.0,26.0,4 out of 26
2.0,6000000.0,590.0,Resale,Unfurnished,7.0,7.0,7 out of 7
3.0,11000000.0,960.0,Resale,Unfurnished,1.0,17.0,1 out of 17
3.0,24000000.0,1168.0,New Property,Unfurnished,20.0,32.0,20 out of 32
1.0,4500000.0,500.0,Resale,Unfurnished,8.0,9.0,8 out of 9
3.0,16000000.0,920.0,Resale,Unfurnished,8.0,27.0,8 out of 27
1.0,2200000.0,400.0,Resale,Unfurnished,4.0,4.0,4 out of 4
1.0,7900000.0,460.0,Resale,Semi-Furnished,2.0,7.0,2 out of 7
1.0,4800000.0,404.0,Resale,Unfurnished,8.0,19.0,8 out of 19
2.0,7520000.0,624.0,New Property,Unfurnished,3.0,7.0,3 out of 7
1.0,2800000.0,510.0,Resale,Unfurnished,2.0,2.0,2 out of 2
1.0,7700000.0,450.0,Resale,Unfurnished,15.0,30.0,15 out of 30
1.0,2500000.0,550.0,Resale,Semi-Furnished,3.0,7.0,3 out of 7
1.0,5300000.0,420.0,Resale,Semi-Furnished,21.0,26.0,21 out of 26
3.0,16500000.0,744.0,Resale,Semi-Furnished,5.0,12.0,5 out of 12
2.0,11900000.0,740.0,Resale,Semi-Furnished,5.0,14.0,5 out of 14
1.0,6800000.0,479.0,Resale,Semi-Furnished,0.0,7.0,0 out of 7
1.0,5000000.0,445.0,New Property,Unfurnished,5.0,16.0,5 out of 16
2.0,9000000.0,686.0,Resale,Semi-Furnished,3.0,28.0,3 out of 28
