"bhk","price","flr","area","sale","furnus","owner"
1,9000000.00,"0  out of 1",468,1,0,
1,4200000.00,"5-21",401,0,0,1
2,12200000.00,"12-24",650,1,0,1
2,16000000.00,"19-20",,1,1,
4,20000000.00,"6-8",,1,1,
1,3000000.00,"5-7",,1,0,
,1650000.00,"4-10",,1,1,
1,7550000.00,"4-20",450,1,1,0
1,2800000.00,"1-5",460,1,1,1
1,2700000.00,"4-7",,1,0,0
1,2600000.00,"4-4",380,1,1,1
3,8000000.00,"6-7",915,0,2,0
2,3300000.00,"1-6",635,1,1,
1,6800000.00,"6-15",445,1,1,1
2,9500000.00,"20-29",756,0,2,1
3,23500000.00,"10-18",910,1,1,1
2,15000000.00,"10-18",559,1,1,1
1,9500000.00,"7-15",,1,2,2
3,24000000.00,"6-30",1500,1,2,1
2,4500000.00,"7-9",,1,1,
1,2000000.00,"3-4",,1,1,
1,3950000.00,"4-16",450,1,0,0
1,3500000.00,"2-6",550,1,0,
1,4200000.00,"3-7",455,1,0,0
2,15300000.00,"21-45",635,0,0,1
1,2380000.00,"4-7",450,0,0,1
1,2500000.00,"7-7",,1,0,
1,7600000.00,"5-6",464,1,2,
1,2900000.00,"7-7",,1,0,0
3,16500000.00,"16-19",,1,2,
1,5100000.00,"2-3",,1,0,
2,9500000.00,"6-12",,1,2,
2,15500000.00,"6-12",570,1,0,1
2,13900000.00,"2-7",,1,0,
2,17000000.00,"9-29",767,0,0,1
2,10000000.00,"8-27",,0,1,
2,10000000.00,"8-27",,0,1,
2,10900000.00,"19-26",650,1,0,1
1,3000000.00,"2-3",,1,1,1
2,8600000.00,"6-8",,1,0,
1,5300000.00,"22-25",,1,0,
1,3800000.00,"4-7",,1,0,
1,3800000.00,"4-7",,1,0,
1,3900000.00,"4-7",,1,0,
2,12100000.00,"2-10",780,1,2,1
2,11000000.00,"13-26",636,1,0,1
2,,"2-8",,1,1,
3,21000000.00,"7-12",930,1,1,
1,5200000.00,"1-7",430,1,1,0
1,1800000.00,"3-5",,1,0,
2,11000000.00,"6-27",600,1,0,1
2,6200000.00,"2-8",640,1,0,1
1,3800000.00,"4-5",,1,0,
1,2050000.00,"12-12",388,0,0,1
1,3900000.00,"6-7",435,1,0,3
1,4000000.00,"1-2",300,1,0,1
1,6000000.00,"8-16",410,1,0,0
3,21000000.00,"15-27",1290,1,1,1
2,9500000.00,"4-12",,1,0,
2,11200000.00,"16-26",636,1,0,1
3,17000000.00,"15-32",940,1,0,
1,4200000.00,"13-20",475,1,0,1
1,2500000.00,"4-8",468,1,0,
1,4500000.00,"2-7",,1,1,
3,24500000.00,"15-27",1250,1,1,1
1,4900000.00,"9-22",450,1,1,3
2,18100000.00,"11-18",818,0,0,1
2,6000000.00,"5-8",670,1,0,1
1,4500000.00,"9-18",580,0,1,
1,,"2-7",,1,0,0
2,4500000.00,"7-7",,1,1,
2,4500000.00,"10-19",584,1,2,1
2,3000000.00,"3-11",640,1,1,1
3,25000000.00,"10-31",1260,1,0,1
1,2900000.00,"6-10",650,1,0,0
2,6800000.00,"3-6",700,1,0,0
1,7200000.00,"4-15",430,1,1,1
1,1250000.00,"1-3",,1,1,1
2,10000000.00,"8-27",,0,1,
2,10000000.00,"8-27",,0,1,
3,17500000.00,"3-12",844,1,0,1
1,5000000.00,"4-7",450,1,1,3
